date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:21	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Jun%202023%2014:46:20%20GMT	https://webdevcode.com/robots.txt		(from )
15:46:21	53937/53937	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2010:22:47%20GMT	https://webdevcode.com/html/cretech/	C:/Users/lenovo%20pc/Desktop/Autofixer%20Solution/webdevcode.com/html/cretech/index.html	(from )
15:46:22	18115/18115	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2010:24:12%20GMT	https://webdevcode.com/html/cretech/assets/images/favicons/apple-touch-icon.png	C:/Users/lenovo%20pc/Desktop/Autofixer%20Solution/webdevcode.com/html/cretech/assets/images/favicons/apple-touch-icon.png	(from https://webdevcode.com/html/cretech/)
15:46:22	1364/1364	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2010:24:14%20GMT	https://webdevcode.com/html/cretech/assets/images/favicons/favicon-32x32.png	C:/Users/lenovo%20pc/Desktop/Autofixer%20Solution/webdevcode.com/html/cretech/assets/images/favicons/favicon-32x32.png	(from https://webdevcode.com/html/cretech/)
15:46:22	594/594	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2010:24:12%20GMT	https://webdevcode.com/html/cretech/assets/images/favicons/favicon-16x16.png	C:/Users/lenovo%20pc/Desktop/Autofixer%20Solution/webdevcode.com/html/cretech/assets/images/favicons/favicon-16x16.png	(from https://webdevcode.com/html/cretech/)
15:46:22	263/263	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2030%20Dec%202022%2010:24:15%20GMT	https://webdevcode.com/html/cretech/assets/images/favicons/site.webmanifest	C:/Users/lenovo%20pc/Desktop/Autofixer%20Solution/webdevcode.com/html/cretech/assets/images/favicons/site.webmanifest	(from https://webdevcode.com/html/cretech/)
15:46:23	193529/193529	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Dec%202022%2010:27:39%20GMT	https://webdevcode.com/html/cretech/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Users/lenovo%20pc/Desktop/Autofixer%20Solution/webdevcode.com/html/cretech/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://webdevcode.com/html/cretech/)
15:46:23	100782/100782	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Dec%202022%2010:28:18%20GMT	https://webdevcode.com/html/cretech/assets/vendors/fontawesome/css/all.min.css	C:/Users/lenovo%20pc/Desktop/Autofixer%20Solution/webdevcode.com/html/cretech/assets/vendors/fontawesome/css/all.min.css	(from https://webdevcode.com/html/cretech/)
15:46:23	321/321	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Dec%202022%2010:26:09%20GMT	https://webdevcode.com/html/cretech/assets/vendors/jarallax/jarallax.css	C:/Users/lenovo%20pc/Desktop/Autofixer%20Solution/webdevcode.com/html/cretech/assets/vendors/jarallax/jarallax.css	(from https://webdevcode.com/html/cretech/)
15:46:23	83884/83884	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Dec%202022%2010:25:59%20GMT	https://webdevcode.com/html/cretech/assets/vendors/animate/animate.min.css	C:/Users/lenovo%20pc/Desktop/Autofixer%20Solution/webdevcode.com/html/cretech/assets/vendors/animate/animate.min.css	(from https://webdevcode.com/html/cretech/)
